开发资源管理调度,1,大数据开发支撑,2
应用开发管理,1,大数据开发支撑,2
算法管理与集成,1,大数据分析支撑,2
交互式分析工具,1,大数据分析支撑,2
数据安全,3,大数据平台,4
数据可视化,3,大数据平台,4
数据共享服务,3,大数据平台,4
数据管理,3,大数据平台,4
大数据分析,3,大数据平台,4
数据查询计算,3,大数据平台,4
数据存储,3,大数据平台,4
数据传输,3,大数据平台,4
应用支撑环境,3,大数据平台,4
数据采集,3,大数据平台,4
分布式缓冲,1,传感器采集,2
设备接入,1,传感器采集,2
数据访问,1,信息系统采集,2
数据服务,1,信息系统采集,2
数据解析抽取,1,信息系统采集,2
文本数据采集,1,互联网数据采集,2
多媒体数据采集,1,互联网数据采集,2
小文件存储访问,1,分布式文件系统,2
散列与动态均衡,1,分布式文件系统,2
存储高可用,1,分布式文件系统,2
并行访问,1,分布式文件系统,2
数据一致性保障,1,分布式文件系统,2
多层级存储管理,1,分布式文件系统,2
分布元数据管理,1,分布式文件系统,2
表元数据管理,1,列式数据库,2
分区数据管理,1,列式数据库,2
批量计算,1,批处理计算,2
计算任务调度,1,批处理计算,2
异构并行计算,1,批处理计算,2
噪声数据过滤,1,数据预处理,2
属性归一化,1,数据预处理,2
属性值填补,1,数据预处理,2
数据去重,1,数据预处理,2
大数据分析支撑,2,应用支撑环境,3
大数据开发支撑,2,应用支撑环境,3
互联网数据采集,2,数据采集,3
信息系统采集,2,数据采集,3
传感器采集,2,数据采集,3
数据同步,2,数据传输,3
消息队列,2,数据传输,3
序列化,2,数据传输,3
列式数据库,2,数据存储,3
分布式文件系统,2,数据存储,3
搜索型数据库,2,数据存储,3
图数据库,2,数据存储,3
分析型数据库,2,数据存储,3
键值数据库,2,数据存储,3
流数据计算,2,数据查询计算,3
批处理计算,2,数据查询计算,3
图计算,2,数据查询计算,3
实时查询计算,2,数据查询计算,3
数据预处理,2,大数据分析,3
数据分析,2,大数据分析,3
分析挖掘,2,大数据分析,3
深度学习,2,大数据分析,3
机器学习,2,大数据分析,3
统计分析,2,大数据分析,3
数据质量管控,2,数据管理,3
数据集成,2,数据管理,3
元数据管理,2,数据管理,3
主数据管理,2,数据管理,3
数据共享,2,数据共享服务,3
数据汇聚引接,2,数据共享服务,3
数据交换,2,数据共享服务,3
信息可视化,2,数据可视化,3
科学可视化,2,数据可视化,3
可视化分析,2,数据可视化,3
隐私保护,2,数据安全,3
安全防护,2,数据安全,3
安全监管,2,数据安全,3
安全服务,2,数据安全,3
视频挖掘,1,分析挖掘,2
文本挖掘,1,分析挖掘,2
音频分析,1,分析挖掘,2
图形识别,1,分析挖掘,2
时空数据分析,1,分析挖掘,2
质量控制,1,数据质量管控,2
数据校验修复,1,数据质量管控,2
质量评估,1,数据质量管控,2
数据开放服务,1,数据共享,2
跨域共享分发,1,数据共享,2
时空数据可视化,1,信息可视化,2
文本可视化,1,信息可视化,2
高维数据可视化,1,信息可视化,2
漏洞检测,1,安全监管,2
追踪溯源,1,安全监管,2
安全交换,1,安全防护,2
安全计算,1,安全防护,2
安全传输,1,安全防护,2
安全存储,1,安全防护,2
防篡改,1,安全防护,2
匿名保护,1,隐私保护,2
数据脱敏,1,隐私保护,2